ATL,104,HOU,97
MIL,102,LAC,106
POR,114,NOP,88
PHO,99,NYK,90
DET,105,BRK,110
MEM,91,CLE,105
BOS,84,MIA,100
IND,100,MIN,96
NOP,101,OKC,99
PHI,96,ORL,88
LAL,101,SAC,108
NYK,108,TOR,118
PHO,104,WAS,92
TOR,120,CHI,129
DEN,82,CHO,110
ATL,105,DAL,102
SAC,108,GSW,128
POR,95,HOU,110
UTA,97,MEM,91
LAC,118,SAS,125
LAC,104,ATL,107
DEN,96,BRK,102
MIN,104,CLE,125
NOP,84,IND,96
GSW,105,LAL,115
PHI,91,MIA,87
CHO,108,MIL,101
POR,115,OKC,111
BOS,95,ORL,100
DAL,115,PHO,124
CHI,99,WAS,91
LAL,93,CHI,113
GSW,86,LAC,100
CLE,91,MIA,101
WAS,102,NYK,91
OKC,114,SAS,106
MIL,107,ATL,77
BRK,109,BOS,107
LAL,98,DAL,102
MIN,102,DEN,106
IND,109,DET,119
HOU,117,MEM,111
SAS,90,NOP,97
CHO,75,OKC,98
CLE,98,ORL,89
PHI,93,POR,114
PHO,115,SAC,106
IND,110,BRK,85
NOP,100,CHI,107
ORL,102,CHO,94
MIN,97,GSW,110
TOR,110,LAC,98
MEM,103,MIA,95
ATL,90,MIL,85
NYK,129,SAC,135
PHI,71,UTA,88
BOS,88,WAS,101
DET,103,CLE,80
OKC,107,DAL,112
TOR,116,DEN,102
PHO,116,LAL,107
NYK,79,POR,101
HOU,106,SAS,110
SAC,99,BRK,107
MIL,104,CHO,94
WAS,104,HOU,103
CHI,92,IND,90
UTA,97,LAC,101
ORL,102,MIA,101
CLE,101,ATL,109
BRK,96,CHI,82
WAS,87,DAL,114
LAL,111,DEN,103
PHI,86,GSW,126
SAS,87,MEM,95
PHO,106,NOP,110
DET,109,ORL,86
TOR,97,POR,102
MIN,94,UTA,100
SAC,84,BOS,106
MIL,96,CLE,80
CHO,83,HOU,102
MIA,95,IND,106
NYK,78,LAC,99
PHO,134,OKC,137
NOP,93,SAS,95
DEN,101,CHI,106
SAC,110,MIN,107
DAL,119,BOS,101
CLE,91,CHO,87
TOR,105,GSW,126
MEM,109,LAL,106
IND,94,MIL,91
HOU,83,NOP,111
DET,97,NYK,81
WAS,102,OKC,109
BRK,100,ORL,98
PHI,96,PHO,112
ATL,98,UTA,92
BOS,104,CHI,109
MEM,85,DEN,114
MIA,79,HOU,115
PHI,91,LAC,127
UTA,101,MIN,89
CHO,98,ORL,90
ATL,115,POR,107
WAS,92,SAS,101
DAL,109,CLE,90
SAC,95,DET,114
IND,87,LAL,88
BRK,84,MIA,88
MIL,95,NYK,82
TOR,109,PHO,125
CHO,104,BOS,95
DAL,96,BRK,88
HOU,105,CHI,114
OKC,91,GSW,117
ATL,107,LAC,98
NYK,83,MEM,105
DEN,110,MIN,101
WAS,92,NOP,85
CLE,92,PHI,95
LAL,94,POR,98
IND,105,UTA,101
PHO,102,MIL,96
DET,105,SAS,104
MEM,86,ATL,96
BOS,89,BRK,81
UTA,97,CHI,77
NOP,94,CHO,98
HOU,105,CLE,93
DET,108,DAL,95
ORL,90,DEN,93
IND,102,GSW,117
LAL,89,LAC,114
PHO,113,MIN,111
MIL,97,PHI,77
OKC,83,SAC,104
NYK,91,WAS,101
HOU,120,NYK,96
MIA,83,POR,99
CHO,103,TOR,95
PHI,90,BRK,88
ATL,106,DET,103
CLE,94,GSW,112
BOS,103,IND,107
ORL,84,LAL,101
MIN,84,MIL,98
MEM,95,NOP,106
UTA,94,OKC,99
DEN,118,SAC,108
PHO,95,SAS,100
CHI,86,WAS,102
MIL,87,CHI,95
BRK,93,DET,98
UTA,82,HOU,97
DAL,100,LAC,120
SAS,108,MIN,93
CHO,110,NYK,82
IND,92,PHI,93
ORL,92,POR,103
BOS,96,TOR,109
WAS,89,ATL,120
MIA,104,LAC,90
POR,106,LAL,94
PHO,110,MEM,122
CLE,84,SAC,103
NOP,100,BOS,108
HOU,113,BRK,99
ORL,121,CHI,114
DET,114,TOR,111
MIN,110,IND,101
